Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,ATTACK
11:56:58.266,0.171,1.47,0.116,0.911,8.5,16.9,0.497,0.617,0.00148,0.00294,0
11:34:22.220,0.158,0.21,0.754,1.11,3.17,5.2,0.385,0.375,0.00334,0.00547,1
11:35:39.532,0.0456,0.304,0.15,0.935,0.716,1.82,0.586,0.432,0.00261,0.00666,0
11:54:42.133,0.00815,0.928,0.00878,0.639,0.0395,1.33,0.97,0.568,0.000144,0.00484,0
11:32:53.953,0.365,0.449,0.814,1.11,2.62,8.12,0.67,0.536,0.0012,0.0037,0
10:35:44.767,0.027,0.329,0.0822,1.07,2.44,3.48,0.3,0.318,0.00535,0.00764,1
11:35:19.505,0.0608,0.344,0.177,1.05,0.781,1.91,0.571,0.456,0.00214,0.00521,0
10:24:27.798,0.0904,0.605,0.149,1.06,10.3,14.5,0.293,0.354,0.00674,0.00953,1
12:21:14.440,0.000585,0.241,0.00243,1.12,0.00648,0.0318,0.763,0.382,0.00184,0.00905,0
10:35:45.268,0.0785,0.672,0.117,1.01,3.71,6.93,0.466,0.432,0.0028,0.00524,1
12:00:59.507,0.000339,0.472,0.000718,0.578,0.000867,0.0669,0.987,0.46,0.000076,0.00587,0
11:58:56.380,0.034,0.425,0.0801,0.967,6.6,7.65,0.138,0.238,0.00576,0.00668,1
11:36:29.591,0.107,0.166,0.642,1.13,2.94,3.87,0.233,0.276,0.00459,0.00603,1
11:58:27.349,0.0589,1.11,0.0532,0.826,8.22,12.4,0.339,0.38,0.00414,0.00626,0
10:15:54.584,0.1,1.04,0.0963,0.893,9,13,0.305,0.367,0.00532,0.00765,0
11:57:27.292,0.0543,1.57,0.0347,0.592,5.95,8,0.256,0.339,0.00325,0.00437,0
10:16:14.616,0.0869,1.12,0.0778,1.04,7.28,10.8,0.327,0.373,0.00497,0.00738,0
11:59:48.435,0.000372,0.548,0.000679,0.571,0.000412,0.055,0.993,0.432,0.0000329,0.00439,0
10:15:35.542,0.129,1.07,0.121,0.807,5.95,11.9,0.499,0.486,0.00272,0.00544,0
10:42:30.281,0.0766,1.05,0.0732,1.04,8.18,11.8,0.31,0.382,0.00634,0.00918,0
11:36:39.602,0.056,0.338,0.166,1.08,0.75,1.8,0.566,0.452,0.00223,0.00536,1
11:33:31.037,0.000996,0.23,0.00433,0.52,0.0354,0.0596,0.396,0.32,0.00591,0.00996,0
11:55:08.155,0.000288,0.452,0.000638,0.575,0.00199,0.0545,0.963,0.422,0.000205,0.00561,0
11:35:20.507,0.0971,0.413,0.235,1,1.13,2.84,0.586,0.481,0.00193,0.00486,0
10:16:50.189,0.104,1.24,0.084,0.816,12.6,15.7,0.201,0.376,0.00717,0.00897,0
11:58:46.368,0.0266,1.96,0.0136,0.577,3.54,4.69,0.244,0.351,0.00396,0.00524,0
10:25:02.408,0.132,0.767,0.172,0.953,14.3,19.7,0.273,0.363,0.00625,0.0086,1
12:20:33.317,0.0271,0.69,0.0392,1.13,0.0945,0.658,0.847,0.506,0.000571,0.00398,0
10:35:35.751,0.0512,0.519,0.0988,1.05,2.78,5.14,0.46,0.377,0.00322,0.00596,1
10:15:53.082,0.105,1.03,0.103,0.864,9.72,13.7,0.292,0.355,0.00548,0.00775,0
11:35:49.544,0.0453,0.31,0.146,0.952,0.732,1.82,0.576,0.428,0.00269,0.0067,0
10:36:43.444,0.0122,0.172,0.0709,1.07,1.65,1.77,0.0687,0.0937,0.00804,0.00863,1
11:33:01.968,0.00293,0.419,0.007,0.438,0.0482,0.112,0.546,0.389,0.00274,0.00638,0
11:59:36.424,0.000492,0.503,0.000977,0.581,0.0261,0.105,0.751,0.395,0.00157,0.00633,0
10:35:30.743,0.0578,0.567,0.102,1.02,2.58,5.1,0.494,0.428,0.00265,0.00523,1
10:24:26.796,0.0906,0.668,0.136,0.994,7.68,11.1,0.311,0.396,0.00503,0.00729,1
11:36:48.614,0.000589,0.113,0.00523,0.471,0.0353,0.0615,0.417,0.388,0.00998,0.0174,0
11:57:03.270,0.0731,1.16,0.0631,0.696,12.6,17.8,0.294,0.341,0.00512,0.00724,0
10:25:24.965,0.126,0.719,0.175,0.945,14.7,19.9,0.264,0.37,0.00692,0.00939,1
10:36:16.824,0.0662,0.542,0.122,1.06,5.07,7.78,0.348,0.387,0.00455,0.00697,1
10:35:38.756,0.0425,0.468,0.0909,1.02,2.25,3.72,0.395,0.419,0.00314,0.00519,1
10:15:38.046,0.0604,1.36,0.0444,0.76,2.04,4.1,0.502,0.459,0.00201,0.00403,0
10:16:39.162,0.115,1.2,0.0953,0.92,11.6,14.9,0.224,0.32,0.006,0.00773,0
11:34:41.452,0.131,0.216,0.607,1.09,2.79,4.78,0.407,0.378,0.00354,0.00607,1
11:36:18.577,0.104,0.161,0.643,1.13,2.98,3.87,0.226,0.257,0.00478,0.00621,1
10:42:43.322,0.0811,1.17,0.0695,1.08,8.04,9.85,0.184,0.293,0.00588,0.00721,0
10:26:00.072,0.0888,0.633,0.14,1.07,11,13.1,0.158,0.262,0.00736,0.00874,1
10:16:22.129,0.0439,1.35,0.0326,0.762,4.14,5.59,0.26,0.332,0.00559,0.00756,0
10:36:42.442,0.0755,0.638,0.118,1.02,5.34,7.68,0.304,0.406,0.0042,0.00604,1
10:36:21.850,0.112,0.674,0.166,0.992,6.46,11.8,0.452,0.42,0.0034,0.00621,1
10:16:05.101,0.0826,1.07,0.0768,0.962,6.45,9.82,0.343,0.391,0.00463,0.00704,0
11:59:14.397,0.0342,0.426,0.0802,0.97,6.63,7.63,0.131,0.241,0.00576,0.00662,1
11:36:01.559,0.098,0.174,0.564,1.1,2.63,3.59,0.26,0.292,0.00447,0.00609,1
10:25:42.521,0.0949,0.657,0.145,1.05,10.7,12.6,0.15,0.257,0.00668,0.00786,1
11:34:16.180,0.496,0.621,0.798,1.12,3.74,5.76,0.341,0.628,0.00125,0.00192,1
11:35:04.486,0.0606,0.282,0.215,1.11,0.923,2.26,0.571,0.428,0.00254,0.00621,0
10:25:22.460,0.108,0.684,0.158,1,13.3,17.8,0.249,0.324,0.00731,0.00974,1
10:36:08.308,0.0793,0.648,0.122,1.04,5.57,8.55,0.349,0.37,0.00416,0.00639,1
12:00:26.479,0.00997,0.144,0.0691,1.09,3.15,3.21,0.0168,0.0137,0.00939,0.00955,1
10:24:45.830,0.116,0.739,0.157,0.964,11.8,15.7,0.246,0.34,0.00603,0.00799,1
12:20:27.278,0.069,0.803,0.0858,1.12,0.299,1.63,0.81,0.816,0.000672,0.00367,0
11:36:45.610,0.00613,0.253,0.0242,0.654,0.137,0.303,0.527,0.361,0.00372,0.00823,0
12:20:35.320,0.000843,0.236,0.00357,1.12,0.0125,0.0539,0.741,0.332,0.00246,0.0106,0
11:37:00.636,0.0133,0.395,0.0336,0.932,0.167,0.501,0.653,0.374,0.0021,0.00628,0
11:59:25.414,0.0251,1.94,0.013,0.576,3.16,4.17,0.243,0.333,0.00373,0.00493,0
12:20:59.415,0.0624,0.116,0.54,1.12,2.76,2.79,0.00983,0.018,0.00737,0.00745,1
11:32:49.948,0.0175,0.3,0.0583,0.952,0.298,0.754,0.596,0.4,0.00285,0.00719,0
10:15:18.500,0.00784,0.917,0.00854,0.729,0.454,1.02,0.555,0.431,0.00343,0.00771,0
10:36:34.929,0.0561,0.518,0.108,1.07,4.85,7.11,0.318,0.374,0.00513,0.00751,1
11:57:41.308,0.0644,1.73,0.0372,0.612,6.14,8.26,0.256,0.337,0.00283,0.00381,0
12:21:32.462,0.000352,0.166,0.00212,1.12,0.00523,0.0294,0.793,0.365,0.00247,0.0139,0
10:15:25.017,0.285,1.61,0.177,0.963,6.13,11.6,0.471,0.422,0.00128,0.00242,0
12:00:32.484,0.00996,0.144,0.069,1.09,3.15,3.21,0.0166,0.0129,0.0094,0.00956,1
11:58:03.327,0.0618,0.616,0.1,0.87,10.2,12.4,0.178,0.281,0.00488,0.00593,1
11:59:21.408,0.0251,1.95,0.0129,0.572,3.61,4.64,0.221,0.347,0.00427,0.00549,0
10:15:36.042,0.145,1.14,0.127,0.895,10.3,15,0.317,0.397,0.0042,0.00614,0
10:15:51.574,0.159,1.18,0.134,0.858,9.75,14.9,0.345,0.447,0.00364,0.00555,0
10:16:51.692,0.0422,1.47,0.0286,0.679,3.15,4.32,0.27,0.327,0.00443,0.00607,0
11:59:11.394,0.0342,0.426,0.0804,0.965,6.5,7.57,0.141,0.241,0.00564,0.00657,1
11:55:12.159,0.000348,0.49,0.00071,0.572,0.00237,0.063,0.962,0.432,0.000202,0.00538,0
10:16:29.139,0.0483,1.32,0.0365,0.759,3.93,5.63,0.302,0.371,0.00483,0.00692,0
10:25:24.464,0.0853,0.709,0.12,0.938,6.63,8.08,0.179,0.351,0.00461,0.00562,1
10:36:06.805,0.0677,0.613,0.111,1.02,4.23,6.45,0.344,0.4,0.00371,0.00565,1
11:58:19.342,0.0521,1.54,0.0339,0.594,6.87,8.89,0.228,0.338,0.00391,0.00506,0
11:53:57.093,0.000283,0.4,0.000708,0.598,0.00465,0.0597,0.922,0.413,0.000488,0.00627,0
12:20:11.107,0.000138,0.0973,0.00142,0.887,0.00523,0.00939,0.398,0.384,0.00617,0.0111,0
11:36:06.563,0.0977,0.155,0.628,1.13,2.98,3.81,0.215,0.244,0.00508,0.0065,1
12:22:01.500,0.000542,0.18,0.00301,1.13,0.00885,0.0413,0.759,0.367,0.00272,0.0127,0
10:15:15.996,0.0562,1.17,0.0481,0.974,3.2,6.23,0.486,0.439,0.00338,0.00658,0
10:16:46.684,0.101,1.22,0.083,0.915,11.4,13.6,0.159,0.284,0.00669,0.00796,0
11:57:45.312,0.054,1.58,0.0342,0.6,6.57,8.57,0.234,0.331,0.00361,0.00471,0
11:35:02.483,0.0529,0.327,0.162,1.09,0.759,1.91,0.584,0.434,0.00239,0.00601,0
10:42:36.812,0.0749,1.07,0.0698,1.08,7.39,11.2,0.338,0.382,0.00586,0.00885,0
11:54:52.140,0.000281,0.442,0.000636,0.581,0.00146,0.0536,0.973,0.414,0.000154,0.00565,0
12:21:59.497,0.000393,0.16,0.00246,1.12,0.00713,0.0328,0.755,0.366,0.00302,0.0139,0
10:15:02.475,0.0733,1.25,0.0586,0.848,1.71,5.46,0.686,0.513,0.00139,0.00442,0
12:20:54.410,0.0967,0.171,0.564,1.13,2.78,3.33,0.159,0.203,0.00478,0.00572,1
11:58:26.348,0.0707,1.25,0.0563,0.679,8.44,13,0.349,0.414,0.00355,0.00545,0
11:34:13.166,0.275,0.296,0.929,1.11,3.6,7.62,0.519,0.487,0.00218,0.00461,1
10:24:24.793,0.104,0.689,0.151,0.943,9.37,13.5,0.304,0.394,0.00534,0.00767,1
12:00:54.502,0.000293,0.45,0.000652,0.571,0.000447,0.0541,0.992,0.434,0.0000452,0.00547,0
10:17:18.246,0.0421,1.09,0.0385,1.05,4.45,5.75,0.225,0.311,0.00627,0.00809,0
12:21:56.493,0.000373,0.161,0.00232,1.12,0.00614,0.0318,0.774,0.364,0.00274,0.0142,0
10:24:56.355,0.164,0.824,0.199,0.978,9.58,14.2,0.323,0.431,0.00346,0.00511,1
12:00:01.447,0.000291,0.452,0.000645,0.579,0.00458,0.0604,0.924,0.382,0.000466,0.00615,0
12:20:08.026,0.00011,0.151,0.000725,0.518,0.00598,0.0101,0.372,0.383,0.00658,0.0111,0
11:33:08.984,0.000817,0.216,0.00379,0.325,0.032,0.0554,0.397,0.358,0.00651,0.0113,0
12:20:16.122,0.000249,0.0885,0.00281,1.1,0.00519,0.00959,0.417,0.434,0.00348,0.00642,0
10:15:50.071,0.096,1.08,0.0892,0.872,8.23,11.7,0.297,0.368,0.00508,0.00723,0
12:22:02.501,0.000431,0.157,0.00274,1.13,0.00917,0.0382,0.73,0.353,0.00354,0.0148,0
10:36:25.413,0.0914,0.673,0.136,1,7.3,11,0.336,0.402,0.00465,0.007,1
11:34:08.158,0.178,0.229,0.777,1.11,3.21,5.27,0.381,0.36,0.00301,0.00494,1
10:36:04.802,0.0926,0.704,0.132,1.04,5.82,9.63,0.396,0.399,0.00372,0.00617,1
12:20:25.163,0.178,0.869,0.205,1.12,0.673,3.92,0.823,0.804,0.000629,0.00366,0
10:42:34.307,0.0808,1.13,0.0714,1.06,8.32,10.3,0.191,0.293,0.00611,0.00756,0
12:00:44.493,0.000288,0.454,0.000636,0.591,0.000199,0.0529,0.996,0.436,0.0000205,0.00544,0
11:59:55.441,0.00042,0.504,0.000834,0.59,0.00504,0.0827,0.939,0.435,0.000357,0.00584,0
11:35:18.504,0.057,0.337,0.169,1.04,0.756,1.8,0.561,0.456,0.00221,0.00528,0
11:33:03.973,0.00979,0.59,0.0166,0.671,0.102,0.275,0.617,0.515,0.00174,0.00467,0
12:21:51.486,0.000436,0.161,0.00271,1.13,0.00731,0.0361,0.771,0.369,0.00279,0.0138,0
10:36:36.933,0.068,0.604,0.113,1.01,4.66,7.01,0.335,0.421,0.00407,0.00612,1
10:14:58.457,0.0593,1.34,0.0443,1.01,1.61,4.55,0.647,0.511,0.00161,0.00456,0
11:33:43.061,0.000821,0.177,0.00464,0.67,0.0314,0.056,0.414,0.353,0.00635,0.0113,0
11:33:17.005,0.000782,0.196,0.00399,0.486,0.0306,0.0502,0.37,0.356,0.00651,0.0107,0
